,Date,Open,High,Low,Close,Volume,Currency
51,2020-03-17,40.19,42.88,38.3,41.88,92742000,USD
52,2020-03-18,39.54,41.93,36.76,39.12,106949288,USD
53,2020-03-19,39.47,41.69,37.74,39.82,88939024,USD
54,2020-03-20,41.51,42.48,39.58,39.61,106860000,USD
55,2020-03-23,40.62,42.32,38.95,41.64,101705000,USD
56,2020-03-24,44.02,46.8,44.02,46.22,106794152,USD
57,2020-03-25,46.77,47.83,44.48,44.63,93760392,USD
58,2020-03-26,45.82,47.5,45.41,47.5,73915608,USD
59,2020-03-27,46.18,47.97,45.92,46.58,74599216,USD
60,2020-03-30,47.24,48.46,46.66,47.86,68487000,USD
61,2020-03-31,47.92,48.53,45.16,45.48,83484000,USD
62,2020-04-01,44.18,46.85,43.16,43.66,92083000,USD
63,2020-04-02,43.4,45.28,43.1,44.49,79024000,USD
64,2020-04-03,44.3,44.84,41.7,42.59,79335000,USD
65,2020-04-06,44.3,47.58,44.06,47.52,82294000,USD
66,2020-04-07,48.96,49.65,46.67,47.56,102099000,USD
67,2020-04-08,48.07,49.0,47.61,48.79,64931000,USD
68,2020-04-09,49.65,50.25,47.72,48.38,80357000,USD
69,2020-04-13,48.47,51.07,48.23,50.94,64290000,USD
70,2020-04-14,52.24,55.14,52.11,54.93,85307000,USD
71,2020-04-15,53.73,55.57,53.41,54.99,83814000,USD
72,2020-04-16,55.96,58.08,55.63,56.95,103106000,USD
73,2020-04-17,57.35,57.76,55.55,56.6,76909000,USD
74,2020-04-20,55.98,58.63,55.85,56.97,72367000,USD
75,2020-04-21,56.9,57.73,51.41,52.92,123906000,USD
76,2020-04-22,54.91,56.15,54.34,55.92,63164000,USD
77,2020-04-23,56.65,57.28,55.64,55.9,69663000,USD
78,2020-04-24,55.1,56.78,54.42,56.18,72855000,USD
79,2020-04-27,57.44,58.0,56.25,56.49,62568000,USD
80,2020-04-28,57.16,57.35,55.3,55.51,80502000,USD
81,2020-04-29,54.53,54.86,52.74,53.66,110801000,USD
82,2020-04-30,53.43,54.29,52.03,52.39,65544000,USD
83,2020-05-01,51.07,51.95,49.09,49.88,69563000,USD
84,2020-05-04,49.81,52.61,49.73,52.56,62591000,USD
85,2020-05-05,53.43,53.51,51.29,52.19,56561000,USD
86,2020-05-06,52.42,53.31,51.88,52.16,48138000,USD
87,2020-05-07,52.93,52.97,51.62,51.95,48957000,USD
88,2020-05-08,52.15,53.27,51.81,53.19,40774000,USD
89,2020-05-11,52.9,55.89,52.75,55.74,68746000,USD
90,2020-05-12,56.21,56.58,53.75,53.76,55631000,USD
91,2020-05-13,54.08,55.21,51.3,52.18,76824712,USD
92,2020-05-14,52.15,54.52,51.63,54.51,73814000,USD
93,2020-05-15,53.32,54.43,52.88,54.2,66950864,USD
94,2020-05-18,54.99,55.22,54.26,54.59,48679060,USD
95,2020-05-19,54.48,56.72,54.44,55.47,60388544,USD
96,2020-05-20,56.62,56.98,55.65,56.39,50888192,USD
97,2020-05-21,56.58,56.65,54.62,54.65,48496112,USD
98,2020-05-22,54.77,55.37,53.78,55.17,43524000,USD
99,2020-05-26,56.02,56.02,53.02,53.19,51618864,USD
100,2020-05-27,53.24,53.24,49.12,52.74,102414488,USD
101,2020-05-28,52.18,53.53,51.26,51.74,53754228,USD
102,2020-05-29,52.07,53.8,51.85,53.8,64948000,USD
103,2020-06-01,53.2,54.08,52.89,53.63,36949860,USD
104,2020-06-02,53.45,53.56,52.02,53.54,42855208,USD
105,2020-06-03,53.64,53.64,52.34,52.73,46765332,USD
106,2020-06-04,52.53,53.73,52.2,52.63,44869088,USD
107,2020-06-05,52.99,53.57,52.08,53.1,53908000,USD
108,2020-06-08,53.33,53.33,52.3,52.97,39681748,USD
109,2020-06-09,52.86,56.46,52.78,56.39,79919136,USD
110,2020-06-10,57.38,59.0,57.05,57.44,78719416,USD
111,2020-06-11,55.94,56.66,52.82,52.83,78715400,USD
112,2020-06-12,55.01,55.6,52.11,53.5,71189000,USD
113,2020-06-15,52.51,54.72,52.42,54.68,56740684,USD
114,2020-06-16,55.82,56.05,53.64,54.46,50949744,USD
115,2020-06-17,54.71,55.81,54.31,54.55,45146544,USD
116,2020-06-18,54.53,55.12,53.69,54.04,40354724,USD
117,2020-06-19,54.41,55.46,53.81,54.23,52801000,USD
118,2020-06-22,54.64,55.16,53.76,54.76,44704780,USD
119,2020-06-23,55.05,55.36,53.88,53.99,48089012,USD
120,2020-06-24,53.91,54.73,51.98,52.39,53535548,USD
121,2020-06-25,52.6,52.68,50.55,51.93,51129616,USD
122,2020-06-26,51.85,51.95,49.45,50.1,65486000,USD
123,2020-06-29,50.06,50.28,48.44,50.28,49905812,USD
124,2020-06-30,51.16,52.73,50.84,52.61,42275740,USD
125,2020-07-01,52.63,52.87,51.6,52.58,32371000,USD
126,2020-07-02,53.03,53.19,52.05,52.34,29081000,USD
127,2020-07-06,52.83,53.51,52.34,53.4,36769424,USD
128,2020-07-07,53.28,54.17,52.86,52.93,32153000,USD
129,2020-07-08,53.01,53.46,52.08,53.43,35608336,USD
130,2020-07-09,53.54,57.53,53.33,57.26,87216264,USD
