Date,AAPL,TSLA,DIS,T,COST,SIRI,WDC,UVXY,MRNA,OHI,SPY,GOOGL,KR,APHA,JPM,TSM,BOTZ,SAVE,SPOT,VWO,GRMN,MSFT,MGNI,SONO,SPCE
2000-01-03,0.8636569380760193,,23.09371566772461,16.987552642822266,32.305686950683594,39.12151336669922,3.091554880142212,,,3.2261085510253906,98.56446075439453,,6.456118583679199,,26.295183181762695,9.735419273376465,,,,,,37.19977569580078,,,
2000-01-04,0.7908415794372559,,24.446487426757812,15.993599891662598,30.536155700683594,36.5054817199707,3.680421829223633,,,3.242159366607666,94.7099838256836,,6.669193267822266,,25.71822738647461,9.79963493347168,,,,,,35.943153381347656,,,
2000-01-05,0.8024150133132935,,25.461063385009766,16.242082595825195,31.057947158813477,38.34859848022461,3.435060739517212,,,3.2261085510253906,94.87937927246094,,6.775728225708008,,25.55947494506836,9.863855361938477,,,,,,36.322120666503906,,,
2000-01-06,0.73297518491745,,24.446487426757812,15.899141311645508,31.681800842285156,39.47823715209961,3.582277536392212,,,3.4187140464782715,93.35458374023438,,6.520045280456543,,25.922346115112305,9.452858924865723,,,,,,35.10541534423828,,,
2000-01-07,0.7676950693130493,,24.059982299804688,16.035417556762695,33.780330657958984,38.88368225097656,4.416507720947266,,,3.194009304046631,98.7762451171875,,6.456118583679199,,26.39860725402832,9.812479019165039,,,,,,35.564170837402344,,,
2000-01-10,0.7541927695274353,,27.731782913208008,16.262542724609375,34.48360824584961,40.429534912109375,3.9257845878601074,,,3.290311336517334,99.11510467529297,,6.285662651062012,,25.945016860961914,10.210627555847168,,,,,,35.823463439941406,,,
2000-01-11,0.7156153321266174,,28.02166748046875,16.035417556762695,33.2585334777832,38.88368225097656,3.9257845878601074,,,3.2261085510253906,97.92909240722656,,6.24304723739624,,25.332677841186523,10.069348335266113,,,,,,34.90594482421875,,,
2000-01-12,0.6726976633071899,,26.040828704833984,15.19503402709961,33.213172912597656,38.764766693115234,3.582277536392212,,,3.258208990097046,96.95491790771484,,6.328275680541992,,25.491443634033203,10.23631477355957,,,,,,33.769020080566406,,,
2000-01-13,0.7464774250984192,,26.910457611083984,14.831625938415527,34.4609260559082,38.28913497924805,3.385989189147949,,,3.258208990097046,98.2679672241211,,6.477429389953613,,25.87698745727539,10.441813468933105,,,,,,34.40729904174805,,,
2000-01-14,0.7749283313751221,,25.944204330444336,15.263175010681152,35.61795425415039,39.95388412475586,3.5332043170928955,,,3.1779580116271973,99.60222625732422,,6.285662651062012,,26.806827545166016,11.340862274169922,,,,,,35.823463439941406,,,
2000-01-18,0.8019327521324158,,26.668886184692383,14.945189476013184,37.20601272583008,41.856441497802734,4.023927211761475,,,3.0335052013397217,98.818603515625,,6.136512279510498,,25.763593673706055,11.058303833007812,,,,,,36.800846099853516,,,
2000-01-19,0.8221860527992249,,26.862152099609375,14.740772247314453,37.65972900390625,44.472476959228516,5.250736236572266,,,2.6322479248046875,99.62334442138672,,6.136512279510498,,26.89756202697754,10.981243133544922,,,,,,34.147979736328125,,,
2000-01-20,0.8757123351097107,,25.992507934570312,14.899772644042969,36.29853057861328,45.721031188964844,4.367435455322266,,,2.5519957542419434,98.09851837158203,,5.923438549041748,,26.874874114990234,10.814275741577148,,,,,,33.828853607177734,,,
2000-01-21,0.8588348031044006,,25.316123962402344,15.626581192016602,35.2095832824707,46.43449783325195,4.023927211761475,,,2.7927513122558594,97.88668060302734,,5.731673240661621,,26.466644287109375,11.225272178649902,,,,,,33.11079406738281,,,
2000-01-24,0.819774866104126,,25.750944137573242,15.263175010681152,34.120628356933594,46.553409576416016,3.729494094848633,,,2.760650634765625,95.11238098144531,,5.561213970184326,,26.489334106445312,12.265597343444824,,,,,,32.31294250488281,,,
2000-01-25,0.8660681843757629,,28.987932205200195,14.536356925964355,36.07167053222656,45.304847717285156,4.318361282348633,,,2.616197347640991,96.19246673583984,,5.497291088104248,,27.078983306884766,13.460049629211426,,,,,,32.81159973144531,,,
2000-01-26,0.85015469789505,,28.311538696289062,14.536356925964355,36.61614227294922,44.94810485839844,4.514649868011475,,,2.6668341159820557,95.43003845214844,,5.62513542175293,,28.462425231933594,12.997682571411133,,,,,,31.714557647705078,,,
2000-01-27,0.8487080335617065,,28.698049545288086,14.172948837280273,35.527191162109375,42.80772018432617,3.63135027885437,,,2.6161978244781494,95.0488510131836,,5.774284839630127,,29.27887535095215,12.0986328125,,,,,,31.515090942382812,,,
2000-01-28,0.7840905785560608,,28.40818214416504,14.263803482055664,33.39466094970703,41.856441497802734,3.9257845878601074,,,2.481168746948242,92.08385467529297,,5.6464409828186035,,27.827402114868164,11.161051750183105,,,,,,31.355531692504883,,,
2000-01-31,0.8004859089851379,,28.069976806640625,15.58115291595459,35.527191162109375,39.35932540893555,3.729494094848633,,,2.0929577350616455,94.58290100097656,,5.923438549041748,,29.27887535095215,10.66015338897705,,,,,,31.235828399658203,,,
2000-02-01,0.7734817862510681,,27.828413009643555,15.399452209472656,37.65972900390625,42.80772018432617,3.680421829223633,,,2.2955031394958496,95.5147705078125,,6.0512824058532715,,30.390146255493164,11.944506645202637,,,,,,32.85149002075195,,,
2000-02-02,0.762390673160553,,28.794673919677734,15.444881439208984,39.15704345703125,43.64010238647461,3.729494094848633,,,2.160473585128784,95.59949493408203,,6.200432300567627,,29.891206741333008,11.905978202819824,,,,,,32.17331314086914,,,
