Date,AAPL,TSLA,DIS,T,COST,SIRI,WDC,UVXY,MRNA,OHI,SPY,GOOGL,KR,APHA,JPM,TSM,BOTZ,SAVE,SPOT,VWO,GRMN,MSFT,SONO,SPCE,MGNI
2000-02-22,422296000.0,,12744100.0,14056000.0,3769600.0,610100.0,1633300.0,,,102200.0,16415400.0,,7441800.0,,7068600.0,2168500.0,,,,,,66296200.0,,,
2000-02-23,473099200.0,,8371700.0,12876300.0,4267300.0,398300.0,1791000.0,,,96000.0,12119000.0,,9155800.0,,4452900.0,10828300.0,,,,,,75847200.0,,,
2000-02-24,376432000.0,,8338600.0,12888000.0,3990500.0,254100.0,1769100.0,,,247600.0,17375000.0,,8360400.0,,5199900.0,3038500.0,,,,,,69733200.0,,,
2000-02-25,249144000.0,,8440600.0,11357400.0,7698400.0,254600.0,2750700.0,,,107500.0,10559900.0,,13766200.0,,4644300.0,6144200.0,,,,,,65301400.0,,,
2000-02-28,328328000.0,,7943600.0,11264900.0,6621300.0,188100.0,1907300.0,,,97200.0,13397800.0,,9052800.0,,6051000.0,2190100.0,,,,,,76131800.0,,,
2000-02-29,368961600.0,,5506400.0,8579000.0,3681800.0,551000.0,3057800.0,,,118600.0,8242500.0,,9811600.0,,6166900.0,3061800.0,,,,,,58437400.0,,,
2000-03-01,1077003200.0,,7250300.0,15273600.0,4624400.0,673700.0,2455600.0,,,100000.0,6868000.0,,6097000.0,,4866300.0,2966700.0,,,,,,106889800.0,,,
2000-03-02,311259200.0,,6588200.0,14977200.0,7841800.0,400500.0,2013300.0,,,79400.0,7600200.0,,6579800.0,,3583800.0,2227000.0,,,,,,106932600.0,,,
2000-03-03,323366400.0,,14559700.0,8890700.0,2430500.0,203100.0,1960600.0,,,120700.0,12770300.0,,9071400.0,,5981400.0,6426300.0,,,,,,101435200.0,,,
2000-03-06,210560000.0,,7341000.0,6434200.0,3419200.0,383600.0,4475000.0,,,80100.0,11967100.0,,6285200.0,,5691400.0,1921600.0,,,,,,93609400.0,,,
