Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
GSX,83.75,Put,65,02/05/21,2,0.2,0.28,0.35,0.23,625,215,2.91,0.00%,02/02/21
GME,101,Call,10,01/21/22,352,74.65,81.38,88.1,81.45,637,219,2.91,0.00%,02/02/21
PFE,35.08,Call,35.5,02/12/21,9,0.37,0.39,0.41,0.39,1551,537,2.89,23.42%,02/02/21
CLDR,16.73,Call,16.5,02/05/21,2,0.49,0.68,0.87,0.72,1936,676,2.86,52.70%,02/02/21
FIVE,181.18,Call,185,02/12/21,9,3.2,3.8,4.4,3.2,654,231,2.83,36.67%,02/02/21
ORBC,8.13,Call,7.5,02/19/21,16,1.05,1.13,1.2,1.09,1572,565,2.78,100.02%,02/02/21
FB,264.35,Put,265,02/05/21,2,2.79,2.84,2.9,2.9,6773,2514,2.69,40.89%,02/02/21
MSFT,239.87,Put,270,02/19/21,16,30.1,30.38,30.65,30.3,650,249,2.61,26.36%,02/02/21
DM,25.57,Call,12.5,02/19/21,16,11.1,13.15,15.2,12.05,957,367,2.61,177.47%,02/02/21
W,293.84,Put,150,02/19/21,16,0.25,0.4,0.55,0.23,729,284,2.57,0.00%,02/02/21
XPEV,46.66,Call,47.5,02/05/21,2,1.34,1.38,1.42,1.38,1127,439,2.57,95.90%,02/02/21
GME,101,Call,135,02/05/21,2,10.5,11.38,12.25,12.1,1066,417,2.56,0.00%,02/02/21
OZK,37.22,Put,35,03/19/21,44,1.15,1.23,1.3,1.15,617,242,2.55,34.86%,02/02/21
ZM,392.29,Put,390,02/05/21,2,6.9,7.25,7.6,7.75,539,213,2.53,62.37%,02/02/21
PFE,35.08,Call,35,02/19/21,16,0.72,0.75,0.77,0.75,6548,2588,2.53,22.15%,02/02/21
OHI,37.06,Put,34,02/19/21,16,0.25,0.3,0.35,0.3,2043,820,2.49,33.39%,02/02/21
PFE,35.08,Call,35.5,02/05/21,2,0.18,0.21,0.23,0.2,6164,2517,2.45,32.50%,02/02/21
ETN,119.79,Call,135,04/16/21,72,1.15,1.3,1.45,1.1,1162,476,2.44,20.86%,02/02/21
UBER,57.3,Put,56.5,02/12/21,9,1.43,1.94,2.45,2.69,1359,556,2.44,53.42%,02/02/21
OPK,5.43,Put,5.5,02/05/21,2,0.34,0.4,0.45,0.4,1046,430,2.43,141.21%,02/02/21
GME,101,Call,7,01/20/23,716,79.45,86.23,93,84.65,1201,497,2.42,0.00%,02/02/21
PFE,35.08,Call,35,03/05/21,30,1.01,1.09,1.16,1.09,698,290,2.41,23.68%,02/02/21
